,Charity,2025_Videos,2025_Views,2025_Featured
0,3 Bluebirds Farm,0,0,
1,A Cat's Life Rescue,1,356,
2,A child a dream a future - Un enfant un rêve un avenir,1,171,
3,A Moment of Magic Foundation,1,533,
4,A21,0,0,
5,Acceptess-T,1,340,
6,Access to Medicines Initiative,1,170,
7,ACLU,2,424,
8,Action Against Hunger,0,0,
9,Actors Fund,0,0,
10,ACTRA,1,187,
11,Against Malaria Foundation,1,161,
12,All Out,0,0,
13,Alley Cat Allies,0,0,
14,Alliance for Building Communities,0,0,
15,Alveus Sanctuary,1,55,
16,Alzheimer's Association,0,0,
17,Alzheimer's Society,0,0,
18,American Foundation for Suicide Prevention,1,37,
19,American Humane Society,1,767,
20,American Library Association,0,0,
21,Amigxs Del M.A.R.,1,79,
22,Amnesty International,0,0,
23,Animal Advocacy Africa,1,203,
24,Animal Advocacy Careers,2,311,
25,Animal Charity Evaluators,2,338,
26,Animal Equality,1,3359,
27,Animal Sanctuary Aurora,1,165,
28,Animal Wonders,1,3292,x
29,APOPO Herorats,1,1245,x
30,Aquatic Life Institute,3,382,
31,Arbor Day Foundation,0,0,
32,Archaeology in the Community,2,212,
33,Art Meets Education,1,165,
34,Artists Open Studio,0,0,
35,Asian American Community Fund of Pennsylvania,1,522,x
36,Asian Americans United,0,0,
37,ASISTA Immigration Assistance,1,44,x
38,Associação Auxílio e Amizade (Aid & Friendship Association),1,411,
39,Astor Services,0,0,
40,Audre Lorde Project,0,0,x
41,Autistica,5,431,
42,Awakening Recovery,1,73,
43,b-eat,0,0,
44,Bail Project,1,131,
45,Barefoot Shakespeare Company,1,112,
46,"Batten Disease Support, Research, and Advocacy Foundation",1,151,
47,Be The Change Youth Initiative,0,0,
48,Belong Center,1,112,
49,Beyond Blue,0,0,
50,Big Sky Youth Empowerment,1,92,
51,Blood Cancer UK,1,32,
52,Books for Africa,0,0,
53,Brooklyn Movement Center,0,0,
54,Burma Skincare Initiative,1,66,
55,CAF America,0,0,
56,Cage to Couch,0,0,
57,Cake4Kids,0,0,
58,California Native Garden Foundation,0,0,
59,Calling All Crows,0,0,
60,Camp Fatima of New Jersey,1,581,x
61,Camp Lilac,1,1206,x
62,Campaign Against Living Miserably,6,2764,x
63,cancer research institute,1,555,
64,"Carabiner Collections, Inc.",1,116,
65,Carolina Manga Library,0,0,
66,Carymoor Environmental Trust,0,0,
67,CASA Project Worcester County,0,0,
68,Catholic Migration Services,0,0,
69,Center for Coastal Studies,0,0,x
70,Center for Constitutional Rights,0,0,
71,Center for Reproductive Rights,0,0,
72,Centre for the Governance of AI,2,186,
73,Charity Elections,0,0,
74,charity:water,0,0,
75,Chattanooga Free Store,1,252,
76,Child's Play,0,0,
77,Children Change Colombia,1,82,
78,Children's Future International,1,225,
79,Chris Wivholm Foundation,1,67,
80,Clean Air Task Force,0,0,
81,Clean Oceans Action,0,0,
82,CoachBright Charitable Trust,0,0,
83,Coalition for the Homeless,0,0,
84,COLAGE,0,0,
85,Collaborative Family Healthcare Association,1,57,
86,Communitopia,1,177,
87,Conservation International,0,0,
88,Cosmopolitan Party Foundation,1,70,
89,Creative Commons,0,0,
90,Crisis Text Line,0,0,
91,Cure Alzheimer's Fund,0,0,
92,Cure CLCN6,1,198,
93,Day One,1,100,
94,Days for Girls International,0,0,
95,Denver Public Library Friends Foundation,0,0,
96,dewindroos,0,0,
97,Digital4Good x #ICANHELP,1,639,
98,Dinosaurs Will Always be Awesome,0,0,
99,Direct Relief,0,0,
100,Disability EmpowHer Network,1,168,
101,Disability Policy Consortium,0,0,
102,Disabled Children's Fund,0,0,
103,Doctors Without Borders,1,398,x
104,Donate Life,0,0,
105,DOSE Artist Collective,1,92,
106,DoSomething.org,1,282,
107,Drag Story Hour,0,0,x
108,Earth Hero,1,87,
109,Earthjustice,1,3405,
110,Ecology Project International,13,1003,
111,educate.,0,0,
112,Effective Thesis,0,0,
113,Emory Farmworker Project,0,0,
114,Empower Tennessee,0,0,
115,EMU International Scholarship Fund,1,2743,
116,Encouraging Women Across All Borders,1,44,
117,Ending Cancer in Our Generation,0,0,
118,Engineers Without Borders,0,0,
119,Equal Justice Initiative,1,109,
120,Equal Rights Beyond Borders,0,0,
121,Everytown for Gun Safety,0,0,
122,Exotic Animals Rescue and Pet Sanctuary,1,76,
123,Family Promise of the Jersey Shore,1,132,
124,Fandom Forward,0,0,
125,Fardah Roshan Academy,0,0,
126,Faunalytics,2,264,
127,Feeding America,0,0,
128,First Book,0,0,
129,Fish Welfare Initiative,1,262,
130,Fistula Foundation,1,219,
131,Flint Water Fund,0,0,
132,Foster Love,0,0,
133,Foundation for an Independent Tomorrow (FIT),1,73,
134,FREE2LUV,1,84,
135,Freedom Readers,0,0,
136,Friends of Lackota Animal Sanctuary,1,161,
137,Friends of Rescue Animals,1,39,
138,Fundación Niños de los Andes,0,0,
139,Fungi Foundation,1,244,
140,Furkids Animal Rescue & Shelters,1,70,
141,Future Economy Collective,0,0,
142,Gamers Outreach,1,139,x
143,GeekGirlCon,0,0,
144,Girl Scouts of the USA,1,78,
145,Girls for change Initiative,1,232,
146,Give Kids the World,1,57,
147,GiveDirectly,1,119,
148,Givewell,0,0,
149,Giving What We Can,2,630,
150,Glassroots,0,0,
151,Global Changemakers,1,61,
152,Global Citizen Adventure Corps,1,169,
153,Global Refuge,1,90,
154,Global Vision 2020,0,0,
155,GLSEN,0,0,
156,Good Food Institute,3,535,
157,Great Ormond Street Hospital for Children,0,0,
158,Greater Change Foundation,1,44,
159,Habibi.Works,14,3306,x
160,Haiti Partners,1,236,
161,Happy Doggo,1,6406,
162,Hear Your Song,1,135,x
163,Heartstone Veganic Sanctuary,0,0,
164,Heifer International,0,0,
165,Herd and Flock Animal Sanctuary,1,173,
166,Hispanic Federation,0,0,
167,Holy Cross Mission Center,0,0,
168,Honeoye Falls-Mendon Rotary,0,0,
169,Hope Creates,0,0,
170,Hope Haven Theraputic Riding Center,0,0,
171,Instrument Shop,1,303,
172,International Campaign to Abolish Nuclear Weapons,2,139,
173,"International Fund for Animal Welfare, Inc.",1,286,
174,International Justice Mission,0,0,
175,it gets better project,0,0,
176,Kafessiz Turkiye,1,70,
177,Kate's Club,1,349,
178,Kick it for Cancer,1,705,x
179,Kids In Need of Defense,0,0,
180,Kids of Hope School,1,878,
181,Kindness Begins with Me,2,261,
182,Kiva,0,0,
183,Last Mile Health,0,0,
184,"Laughing at My Nightmare, Inc.",0,0,
185,Lava Mae,0,0,
186,Lead Exposure Elimination Project,1,107,
187,Legacy Youth Leadership,11,3219,
188,Lets Plant e.V.,1,57,
189,Liberty in North Korea,0,0,
190,Libraries without Borders,0,0,
191,LifeSmart Education,1,78,
192,Limbs for Life,1,139,x
193,Limitless Horizons Ixil,0,0,
194,Literacy for Life,1,885,x
195,Literacy KC,0,0,
196,LitShop,1,140,
197,Little Shelter Animal Rescue &amp; Adoption Center,0,0,
198,Lost-N-Found Youth,1,186,
199,Love Does,0,0,
200,Love146 Dayton Task Force,0,0,
201,LOVEPAWS,1,197,
202,Lupus Foundation of America,0,0,
203,Mahim Aboli Foundation,1,384,
204,Malala Fund,0,0,
205,Manchester True Collaborative,1,129,
206,Marsha P. Johnson Institute,0,0,
207,MASS APPEAL INTERNATIONAL,0,0,
208,Mastodon,1,180,
209,Meals For Unity,1,135,
210,Mercy Children's Hospital,0,0,
211,Mermaids UK,1,565,x
212,Michael J. Fox Foundation,1,527,
213,Mid Willamette Trans Support Network,0,0,
214,Midtown Greenway Coalition,1,55,
215,Mind,0,0,
216,MIND Research Institute,1,47,
217,Minus18,0,0,
218,MIRI,0,0,
219,Misfits Rehab,1,179,
220,Missoula Friends of the Shelter,1,105,
221,Missoula Urban Demonstration Project (MUD),2,196,
222,Mollesnejta,1,161,
223,Motion Picture and Television Fund,0,0,
224,My Bag My Story,0,0,
225,NAMI,0,0,
226,Nanowrimo,0,0,
227,National Abortion Federation,3,483,
228,National Center For Transgender Equality,0,0,
229,National Eating Disorders Association,1,716,
230,NATIONAL LGBTQ TASK FORCE,1,246,
231,National Park Foundation,0,0,
232,National Suicide Prevention Lifeline,0,0,
233,Native Land Conservancy,1,256,
234,NephCure Kidney International,1,61,
235,New Incentives,1,78,
236,New Roots Institute,1,365,
237,"New York State Network for Youth Success, Inc.",0,0,
238,No Means No Worldwide,1,449,
239,Not Forgotten,1,62939,x
240,Now I Lay Me Down to Sleep,1,133,
241,Nuclear Age Peace Foundation,0,0,
242,Ocean Conservancy,0,0,
243,Ocean Rescue Alliance International,0,0,
244,On The Move Art Studio,1,109,
245,One Heart Project,1,143,
246,Open Medicine Foundation,0,0,
247,OpenMRS,1,324,
248,Ophelias Place,1,118,
249,Other People Fund,1,217,
250,Out On The Shelf,0,0,
251,Outright International,0,0,
252,Painted Dog Conservation,0,0,
253,Pajama Program,0,0,
254,Palestinian American Community Center,1,499,x
255,Palestinian Center for Human Rights,1,208,
256,Palestinian Youth Movement,1,37,
257,Palomacy Pigeon & Dove Adoptions,1,47,
258,Pamoja Community-Based Organisation,2,167,
259,Parkinson's UK,1,58,
260,Partners for Mental Health,0,0,
261,Partners in Health,0,0,
262,PATH,0,0,
263,PauseAI,1,278,
264,Pencils for Kids,0,0,
265,People Against Landlord Abuse & Tenant Exploitation,1,286,
266,Pink Ribbon Good,1,533,
267,Plan USA,1,74,
268,Planet Reimagined,1,104,
269,Planned Parenthood,0,0,
270,Pragathi Charitable Trust,0,0,
271,Prescription Joy,1,90,
272,Prison Book Program,3,1090,
273,Project B.E.A.R.,0,0,
274,Project Drawdown,1,203,
275,Project Heal,0,0,
276,ProVeg International,2,1262,x
277,Pumpkins Acres Rabbit Rescue,0,0,
278,Puppies Behind Bars,1,65,
279,Puzzle Pieces Squared,1,255,
280,Quadball UK,0,0,
281,Queer Camp,1,208,
282,Queer Lexikon e.V.,1,180,
283,Queer Liberation Library,1,1435,x
284,Quelili,0,0,
285,Rainbow Trust Children's Charity,1,457,
286,RAINN,0,0,
287,Red Goes Faster,0,0,
288,Redwood Empire Food Bank,0,0,
289,ReFOCUS Media Labs,1,115,
290,Refugee Council,0,0,
291,ReliefAid,7,1955,
292,Remote Area Medical,0,0,
293,"Renesting Project, Inc.",1,676,x
294,RiseBoro Community Partnership,1,150,
295,Roger Neilson House,0,0,
296,"Safe To Be, Inc.",1,245,
297,SameSame,1,134,
298,Sandy Hook Promise,1,82,
299,Sarcoma Foundation of America,0,0,
300,Save the Children,0,0,
301,Scarleteen,1,495,
302,Seacology,2,589,
303,Seattle Humane Society,1,318,
304,SEDS-Canada,0,0,
305,Seed,0,0,
306,selfm-aid,2,511,
307,Sembrando Esperanza (Reforest Ecuador),1,301,
308,SENS Research Foundation,0,0,
309,Sentience,1,197,
310,Shared Hope International,0,0,
311,She's The First,11,4382,x
312,"Shelter, Inc.",0,0,
313,Sinergia Animal,2,452,
314,Sister Garczynska's Foundation,0,0,
315,Small Miracles,1,626,
316,Soap Aid,0,0,
317,SOCK FIP,0,0,
318,Soul Bilíngue,1,432,
319,SpayNSave,0,0,
320,Sphinx Academy,1,141,
321,Spiro,1,155,
322,Sprach- und Bildungsförderung SprInt gGmbH,1,101,
323,Squires Empowering Young Dads,1,212,
324,St Raphael's Hospice,1,64,
325,St. Jude Children's Research Hospital,1,68,
326,Stella's Circle,0,0,
327,StepUp Greensboro,1,266,x
328,Stichting Heuvelrug Theater,1,463,
329,Stone Soup Cafe,0,0,
330,strongminds,0,0,
331,Student Advocacy Center of Michigan,1,63,
332,Survival International,1,92,
333,Sustainability Matters,1,1207,x
334,Suubi Teen MOPS Uganda,1,836,x
335,Swasthya Swaraj,0,0,
336,TB Alliance,1,94,
337,TECHO,0,0,
338,Teens4TeensHelp,2,246,
339,Texas 4000 for Cancer,0,0,
340,The American Red Cross,1,50,
341,The Being Together Foundation,0,0,
342,The Book Truck,0,0,
343,The Crime Connection Incorporated,0,0,
344,The Foundation to Decrease World Suck,0,0,
345,The Friendship Circle,1,67,
346,THE HOSPICE CASA SPERANTEI FOUNDATION,1,130,
347,The Humane League,1,212,
348,The Humane Society of New York,0,0,
349,The J.E.D. Foundation,1,45,
350,The Northwest Hub,1,50,
351,The Ocean Cleanup,0,0,
352,The Pet Fund,1,129,
353,The Prison Phoenix Trust,0,0,
354,The Resilient Activist,0,0,
355,The Savannah Children's Theatre,1,95,
356,The Social Teahouse Foundation,1,172,
357,The Sound of Hope,0,0,
358,The Starfish Foundation,1,505,
359,The STIM Project,0,0,
360,The Superhero Project,1,485,x
361,The Trevor Project,1,216,
362,Therapies Unite,0,0,
363,Thirst Project,7,985,
364,This Star Won't Go Out,2,1043,x
365,Thrive Youth Center,0,0,
366,Time Out Youth,1,270,
367,Tinykittens,1,104,
368,To Write Love on Her Arms,0,0,
369,Trans Lifeline,0,0,
370,TransActual,0,0,
371,TravlerPack,0,0,
372,Trees for the Future,0,0,
373,TreeSisters,1,111,
374,True Colors United,1,129,
375,Ultimate Peace,0,0,
376,Uncultured Project,0,0,
377,Underdog Animal Rescue and Rehab,1,383,
378,UNHCR,0,0,
379,UNICEF,0,0,
380,United Mitochondrial Disease Foundation,1,102,
381,United2Heal,0,0,
382,UNRWA USA,2,356,
383,Uplift,0,0,
384,Upwardly Global,0,0,
385,Veganuary,5,996,
386,Vida Plena,1,206,
387,Viral Vegans,4,842,
388,Walkin' &amp; Rollin' Costumes,0,0,
389,War Child,2,396,
390,water.org,0,0,
391,WaterAid,1,78,
392,Wayne Foundation,0,0,
393,Waypoint Centre for Mental Health Care,0,0,
394,We Got This,0,0,
395,We Need Diverse Books,0,0,
396,wellpower,1,90,
397,West Suburban Humane Society,0,0,
398,Wezesha Binti girl up,0,0,
399,Whale and Dolphin Conservation,0,0,
400,Wigs4Kids,0,0,
401,Wikimedia Foundation,0,0,
402,Wild Animal Initiative,1,447,
403,Wildlife Conservation Network,0,0,
404,Wildlife Trusts,0,0,
405,Wildlife Waystation,0,0,
406,Wings of Rescue,1,130,
407,Women for Women International,0,0,
408,World Association of Girl Guides and Girl Scouts,0,0,
409,World Bicycle Relief,0,0,
410,World Central Kitchen,1,1524,x
411,World Food Programme,0,0,
412,World Wildlife Foundation,0,0,
413,World YWCA,0,0,
414,Year total,0,0,
415,Yoga and Sports for Refugees,2,516,x
416,Youth Action,0,0,
417,Youth With A Mission Hopeland,1,299,
418,,0,0,
